,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
0,EXA Infrastructure,switzerland, Geneva, 1217 Meyrin,Chemin de l'Epinglier 2,,,,46.2017559,6.1466014
1,NexTDC,australia, Perth WA,11 Newcastle Street,,129166.93,,20.0,-31.9558933,115.8605855
2,OVHCloud,usa, Virginia 20187, Warrenton,6872 Watson Ct,,,,33.711823,-117.7924143
3,LeaseWeb,germany, Kalbach-Riedberg, 60437 Frankfurt am Main,Heinrich-Lanz-Allee 47,215278.0,,10.0,50.1766221,8.6320784
4,Amazon AWS,usa, VA 20152, Chantilly,43701 Clubber Ln,150000.0,,,,
5,Stream Data Centers,usa, Texas, San Antonio,9550 Westover Hills Blvd,75840.0,30000.0,10.8,31.2638905,-98.5456116
6,IBM Cloud,australia,Sydney NSW,,,,,,-33.8698439,151.2082848
7,Amazon AWS,usa, VA, Sterling,21111 Ridgetop Circle,,,,37.1232245,-78.4927721
8,Amazon AWS,usa, VA, South Riding,25410 Sutton Bay Plz,145000.0,,,,
9,Global Switch,germany, Frankfurt am Main Mitte-West, 60489 Frankfurt am Main,Eschborner Landstraße 110,127682.0,,,50.123521249999996,8.600043263716817
10,Amazon AWS,usa, VA, Ashburn,43790 Devin Shafron Drive,,,,,
11,IBM Cloud,brazil, São Paulo, 1157 - Vila Mariana,Rua Tutóia,,,,,
12,Microsoft Azure,qatar,Doha,,,,,,25.2856329,51.5264162
13,NTT Communications,brazil, São Paulo, 71 - Bela Vista,Avenida Paulista,,,,,
15,Amazon AWS,japan, Chiba, Inzai, 2 Chome-３-12 Otsuka,,,,35.549399,140.2647303
16,Amazon AWS,usa, VA 20147, Ashburn,44854 Interconnection Plz,150000.0,,,,
17,EdgeConnex,ireland, Dublin, Dublin 22, Kilmahuddrick,,,7.0,53.3493795,-6.2605593
18,165 Halsey Street,usa, NJ 07102, Newark, Halsey Street,180000.0,40000.0,80.0,,
19,DataHub Asia,bangladesh, Dhaka 1212,87 Rd # 4,,,4000.0,,23.780471849999998,90.35832872412647
20,NexTDC,australia, Brisbane City QLD,20 Wharf St,,17760.45,,2.25,-27.4689682,153.0234991
21,OVHCloud,france, 59820 Gravelines,Route de la Ferme Masson,,,,,50.97948161352657,2.1475109507246377
22,NexTDC,australia, Bruce ACT,19 Battye Street,,24326.44,,4.4,-35.2453517,149.0916334
23,Polaris Data Centre,australia, Springfield Central QLD 4300,11 Mary Mackenroth Ln,,156077.0,78652.0,0.06,-27.6861177,152.9037832
24,STACK INFRASTRUCTURE,usa, TX, Plano,6653 Pinecrest Drive,294000.0,247000.0,82.0,31.2638905,-98.5456116
25,IBM Cloud,usa, CA, Santa Clara,3105 Alfred Street,,,,36.7014631,-118.755997
26,Amazon AWS,usa, VA 20109, Manassas, 7500 Bethlehem Rd,,,,,
27,STACK INFRASTRUCTURE,italy, Province of Pavia, Siziano, 8/10,,,5.0,45.3979757,11.8611057
28,NexTDC,australia, West Footscray VIC,25 Indwe Street,,1076391.0,,150.0,-37.80174125,144.88407387594185
29,IBM Cloud,japan, Tokyo, Chuo City, 19-21 Nihonbashi-Hakozakichō,,,,35.6821936,139.762221
30,Amazon AWS,brazil, Jundiaí - State of São Paulo, Brasil - Jardim Ermida I, Jundiaí - São Paulo,,,,,
31,Microsoft Azure,china,Shanghai,,,,,,31.2323437,121.4691024
32,IBM Cloud,usa, TX, Dallas,4849 Alpha Road,,,,31.2638905,-98.5456116
33,Carrier One Inc,usa, TX, Dallas,1515 Round Table Drive,107000.0,,8.0,31.2638905,-98.5456116
34,Amazon AWS,israel,Shoham,,,,,,32.0004845,34.9465419
35,IBM Cloud,spain,Madrid,,,,,,40.4167047,-3.7035825
36,LeaseWeb,usa, VA 20109, Manassas, 11680 Hayden Rd,,,0.25,,
37,STACK INFRASTRUCTURE,italy, PV, 27010 Siziano, 8/10,75347.37,,10.0,45.036854649999995,9.137825082826026
38,NTT Communications,south korea,Seoul,,,,,,37.5666791,126.9782914
39,LeaseWeb,usa, CA 95131, San Jose,1735 Lundy Ave,157908.0,,,,
40,HostDime,brazil, 58030-040, João Pessoa - PB, 1223 - Estados,20000.0,,,,
41,Equinix,usa, CA 95119, San Jose,5 Great Oaks Boulevard,193000.0,,,,
