,Unnamed: 0,name,country,city,town,address,total space (sqft),colocation space (sqft),total power (MW),latitude,longitude
0,0,EXA Infrastructure,switzerland, Geneva, 1217 Meyrin,Chemin de l'Epinglier 2,,,,46.2017559,6.1466014
1,1,NexTDC,australia, Perth WA,11 Newcastle Street,,129166.93,,20,-31.9558933,115.8605855
2,2,OVHCloud,usa, Virginia 20187, Warrenton,6872 Watson Ct,,,,33.711823,-117.7924143
3,3,LeaseWeb,germany, Kalbach-Riedberg, 60437 Frankfurt am Main,Heinrich-Lanz-Allee 47,215278,,10,50.1766221,8.6320784
4,4,Amazon AWS,usa,VA, Chantilly,43701 Clubber Ln,150000,,,37.1232245,-78.4927721
5,5,Stream Data Centers,usa, Texas, San Antonio,9550 Westover Hills Blvd,75840,30000,10.8,31.2638905,-98.5456116
6,6,IBM Cloud,australia,Sydney NSW,,,,,,-33.8698439,151.2082848
7,7,Amazon AWS,usa, VA, Sterling,21111 Ridgetop Circle,,,,37.1232245,-78.4927721
8,8,Amazon AWS,usa,VA, South Riding,25410 Sutton Bay Plz,145000,,,37.1232245,-78.4927721
9,9,Global Switch,germany, Frankfurt am Main Mitte-West, 60489 Frankfurt am Main,Eschborner Landstraße 110,127682,,,50.12352125,8.600043264
10,10,Amazon AWS,usa,VA, Ashburn,43790 Devin Shafron Drive,,,,37.1232245,-78.4927721
11,11,IBM Cloud,brazil,Sao Paulo, 1157 - Vila Mariana,Rua Tutóia,,,,-23.5506507,-46.6333824
12,12,Microsoft Azure,qatar,Doha,,,,,,25.2856329,51.5264162
13,13,NTT Communications,brazil,Sao Paulo, 71 - Bela Vista,Avenida Paulista,,,,-23.5506507,-46.6333824
14,15,Amazon AWS,japan, Chiba, Inzai, 2 Chome-３-12 Otsuka,,,,35.549399,140.2647303
15,16,Amazon AWS,usa,VA, Ashburn,44854 Interconnection Plz,150000,,,37.1232245,-78.4927721
16,17,EdgeConnex,ireland, Dublin, Dublin 22, Kilmahuddrick,,,7,53.3493795,-6.2605593
17,18,165 Halsey Street,usa,NJ, Newark, Halsey Street,180000,40000,80,40.0757384,-74.4041622
18,19,DataHub Asia,bangladesh, Dhaka 1212,87 Rd # 4,,,4000,,23.78047185,90.35832872
19,20,NexTDC,australia, Brisbane City QLD,20 Wharf St,,17760.45,,2.25,-27.4689682,153.0234991
20,21,OVHCloud,france, 59820 Gravelines,Route de la Ferme Masson,,,,,50.97948161,2.147510951
